Sample,Sed_TOC,Sed_TN,HPAH,LPAH,Ag,As,Cd,Cr,Cu,Hg,Pb,Zn,PBDE47,Ni,Se,Sn
Long-term_2017_40036_1,0.71,0.1,142.55,31.13,0.081,6.72,0.136,33.5,17.4,0.0742,13.7,59.4,0.152,27.6,0.328,0.92
Long-term_2017_40036_2,0.68,0.1,142.55,31.13,0.081,6.72,0.136,33.5,17.4,0.0742,13.7,59.4,0.152,27.6,0.328,0.92
Long-term_2017_40036_3,0.78,0.1,142.55,31.13,0.081,6.72,0.136,33.5,17.4,0.0742,13.7,59.4,0.152,27.6,0.328,0.92
Long-term_2018_40036_1,0.94,0.11,142.55,31.13,0.081,6.72,0.136,33.5,17.4,0.0742,13.7,59.4,0.152,27.6,0.328,0.92
Long-term_2017_40037_1,1.64,0.21,187.15,39.694,0.233,14.1,0.296,83.7,45.3,0.101,15.3,93.8,0.107,64.8,0.695,0.86
Long-term_2017_40037_2,1.7,0.24,187.15,39.694,0.233,14.1,0.296,83.7,45.3,0.101,15.3,93.8,0.107,64.8,0.695,0.86
Long-term_2017_40037_3,1.72,0.23,187.15,39.694,0.233,14.1,0.296,83.7,45.3,0.101,15.3,93.8,0.107,64.8,0.695,0.86
Long-term_2018_40037_1,1.81,0.2,187.15,39.694,0.233,14.1,0.296,83.7,45.3,0.101,15.3,93.8,0.107,64.8,0.695,0.86
Long-term_2018_40038_1,1.71,0.21,396.5,99.14,0.171,7.73,0.431,45.6,30.3,0.0812,14.6,85.5,0.305,37,0.68,1.31
Long-term_2017_209R_1,0.4,0.1,12.08266667,2.57,0.052333333,5.706666667,0.074,35.4,17.66666667,0.0236,3.316666667,43.1,0.282,34.6,0.449666667,0.26
Long-term_2018_209R_1,0.41,0.06,12.08266667,2.57,0.052333333,5.706666667,0.074,35.4,17.66666667,0.0236,3.316666667,43.1,0.282,34.6,0.449666667,0.26
Long-term_2017_305R_1,3.66,0.44,209.9866667,22.73333333,0.200333333,19.1,3.136666667,73.43333333,91.76666667,0.055566667,9.146666667,90.6,0.217666667,54.66666667,2.586666667,0.95
Long-term_2018_305R_1,3.6,0.43,209.9866667,22.73333333,0.200333333,19.1,3.136666667,73.43333333,91.76666667,0.055566667,9.146666667,90.6,0.217666667,54.66666667,2.586666667,0.95
Long-term_2017_BLL009_1,0.59,0.1,34.28666667,15.48333333,0.05,4.923333333,0.096333333,24.43333333,9.996666667,0.033566667,3.92,34.7,0.404333333,25.56666667,0.523,0.306666667
Long-term_2018_BLL009_1,0.5,0.08,34.28666667,15.48333333,0.05,4.923333333,0.096333333,24.43333333,9.996666667,0.033566667,3.92,34.7,0.404333333,25.56666667,0.523,0.306666667
Long-term_2017_HCB003_1,2.39,0.27,210.4433333,50.97,0.120333333,7.876666667,0.353333333,57.03333333,64.03333333,0.063866667,12.13333333,96.76666667,0.151333333,49.86666667,1.64,1.033333333
Long-term_2018_HCB003_1,2.34,0.25,210.4433333,50.97,0.120333333,7.876666667,0.353333333,57.03333333,64.03333333,0.063866667,12.13333333,96.76666667,0.151333333,49.86666667,1.64,1.033333333
